"email","first_name","last_name","cf_id","company_name","description","end_date","remaining_goal_amount"
"mathilde.kruschwitz@yahoo.com","Shelton","Abbott",1911,"Willis and Sons","Fundamental incremental database","2021-06-16",72323.0
"svenja.perrin@berger.com","Melina","Abeln",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"calogero.cross@mercantini.it","Monika","Abeln",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"guillermina.nicholson@grondin.fr","Justin","Abeln",563,"Rush-Bowers","Persevering analyzing extranet","2021-12-26",71872.0
"chantal.armas@jenkins.net","Val","Abeln",1572,"Mcmillan Group","Advanced cohesive Graphic Interface","2021-12-29",98164.0
"guillermina.nicholson@grondin.fr","Vella","Abraham",563,"Rush-Bowers","Persevering analyzing extranet","2021-12-26",71872.0
"svenja.perrin@berger.com","Ippolito","Abraham",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Alwina","Abraham",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"guillermina.nicholson@grondin.fr","Ottavia","Abraham",563,"Rush-Bowers","Persevering analyzing extranet","2021-12-26",71872.0
"lauretta.neal@hotmail.de","Santiago","Abraham",2284,"Foley-Cox","Progressive zero administration leverage","2022-01-13",151747.0
"svenja.perrin@berger.com","Paco","Abraham",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"chantal.armas@jenkins.net","Mila","Abraham",1572,"Mcmillan Group","Advanced cohesive Graphic Interface","2021-12-29",98164.0
"henry.gucci@leleu.fr","Crissy","Abraham",238,"Parker PLC","Reduced interactive matrix","2021-07-21",41198.0
"svenja.perrin@berger.com","Affonso","Abraham",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"ariadna.geisel@rangel.com","Kaina","Abraham",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.0
"svenja.perrin@berger.com","Susi","Abraham",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Ornella","Abraham",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"chantal.armas@jenkins.net","Randell","Abt",1572,"Mcmillan Group","Advanced cohesive Graphic Interface","2021-12-29",98164.0
"chantal.armas@jenkins.net","Bret","Abt",1572,"Mcmillan Group","Advanced cohesive Graphic Interface","2021-12-29",98164.0
"calogero.cross@mercantini.it","Klothilda","Abt",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"guillermina.nicholson@grondin.fr","Teresia","Abt",563,"Rush-Bowers","Persevering analyzing extranet","2021-12-26",71872.0
"svenja.perrin@berger.com","Hedwig","Abt",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Sandie","Abt",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"ariadna.geisel@rangel.com","Harmony","Abt",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.0
"ariadna.geisel@rangel.com","Edgar","Abt",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.0
"svenja.perrin@berger.com","Melvin","Abt",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Leonida","Abt",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Tawny","Abt",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Garth","Accordino",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Ian","Acevedo",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Ricciardo","Acevedo",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"ariadna.geisel@rangel.com","Warner","Acevedo",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.0
"svenja.perrin@berger.com","Isaure","Acevedo",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Alphonse","Acevedo",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Sigrid","Achille",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"calogero.cross@mercantini.it","Wilfreda","Achilles",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"svenja.perrin@berger.com","Otha","Achilles",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"chantal.armas@jenkins.net","Margarete","Achilles",1572,"Mcmillan Group","Advanced cohesive Graphic Interface","2021-12-29",98164.0
"calogero.cross@mercantini.it","Ashanti","Achilles",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"svenja.perrin@berger.com","Trent","Achterberg",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"calogero.cross@mercantini.it","Camelia","Achterberg",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"svenja.perrin@berger.com","Borachio","Achterberg",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"ariadna.geisel@rangel.com","Italina","Achterberg",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.0
"guillermina.nicholson@grondin.fr","Gianni","Achterberg",563,"Rush-Bowers","Persevering analyzing extranet","2021-12-26",71872.0
"ariadna.geisel@rangel.com","Alica","Acker",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.0
"guillermina.nicholson@grondin.fr","Tandy","Acker",563,"Rush-Bowers","Persevering analyzing extranet","2021-12-26",71872.0
"svenja.perrin@berger.com","Tristan","Acker",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Del","Acker",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Waltraud","Acker",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"calogero.cross@mercantini.it","Kanisha","Ackermann",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"lauretta.neal@hotmail.de","Marc","Ackermann",2284,"Foley-Cox","Progressive zero administration leverage","2022-01-13",151747.0
"svenja.perrin@berger.com","Kasie","Ackermann",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"chantal.armas@jenkins.net","Giraldo","Ackermann",1572,"Mcmillan Group","Advanced cohesive Graphic Interface","2021-12-29",98164.0
"svenja.perrin@berger.com","Tancredo","Acosta",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"calogero.cross@mercantini.it","Keturah","Acosta",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"svenja.perrin@berger.com","Pasquale","Acquaviva",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Florentina","Acri",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"svenja.perrin@berger.com","Louie","Adam",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"calogero.cross@mercantini.it","August","Adam",968,"Warren Ltd","Distributed system-worthy application","2021-09-21",153288.0
"svenja.perrin@berger.com","Boris","Adam",65,"Berry-Richardson","Automated zero tolerance implementation","2021-05-29",8362.0
"ariadna.geisel@rangel.com","Janeth","Adam",1114,"Nunez-Richards","Exclusive attitude-oriented intranet","2021-03-10",88154.0
